Fretboard Notes and Frequencies

Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
Permission is granted to copy. distribute and/or modify this document
under the terms of the Attribution-NonCommercial 4.0 International License

This book is distributed in the hope that it will be useful,
but WITHOUT ANY WARRANTY; without even the implied warranty of
MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine AT protonmail.com

4-String Bass


-12 Frets

S   4              3              2              1

14  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
15  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
16  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
17  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
18  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523
19  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220
20  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819
21  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417
22  A4   110       D4   146.8324  G4   195.9977  C5   261.6256
23  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826
24  B4   123.4708  E4   164.8324  A5   220       D5   293.6648

-4 Frets

S   4              3              2              1

0   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
1   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
2   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
3   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
4   E2   41.20344  A3   55        D3   73.41619  G3   97.99886
5   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
6   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
7   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
8   G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
9   A3   55        D3   73.41619  G3   97.99886  C4   130.8128
10  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
11  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
12  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
13  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
14  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
15  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
16  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
17  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523
18  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220
19  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819
20  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417
